size_bytes,access_type,run,latency_ns
8388608,post_migration,25,81827100
8388608,cpu_baseline,26,4582600
8388608,post_migration,26,84475900
8388608,cpu_baseline,27,5461600
8388608,post_migration,27,80365600
8388608,cpu_baseline,28,4072600
8388608,post_migration,28,83322900
8388608,cpu_baseline,29,4365200
8388608,post_migration,29,76271900
16777216,cpu_baseline,0,186154200
16777216,post_migration,0,187993700
16777216,cpu_baseline,1,9090300
16777216,post_migration,1,179803200
16777216,cpu_baseline,2,8413400
16777216,post_migration,2,183528000
16777216,cpu_baseline,3,13368700
16777216,post_migration,3,180711200
16777216,cpu_baseline,4,10846500
16777216,post_migration,4,180521600
16777216,cpu_baseline,5,9607700
16777216,post_migration,5,176491900
16777216,cpu_baseline,6,10631100
16777216,post_migration,6,180723800
16777216,cpu_baseline,7,8522100
16777216,post_migration,7,176911200
16777216,cpu_baseline,8,9369100
16777216,post_migration,8,180748600
16777216,cpu_baseline,9,9069700
16777216,post_migration,9,177900500
16777216,cpu_baseline,10,11774700
16777216,post_migration,10,181252700
16777216,cpu_baseline,11,10314500
16777216,post_migration,11,178603300
16777216,cpu_baseline,12,10169400
16777216,post_migration,12,183198100
16777216,cpu_baseline,13,8129900
16777216,post_migration,13,182336500
16777216,cpu_baseline,14,8964500
16777216,post_migration,14,178967400
16777216,cpu_baseline,15,11750800
16777216,post_migration,15,249230600
16777216,cpu_baseline,16,10688900
16777216,post_migration,16,181248500
16777216,cpu_baseline,17,8444800
16777216,post_migration,17,182701900
16777216,cpu_baseline,18,8694100
16777216,post_migration,18,183625900
16777216,cpu_baseline,19,8135800
16777216,post_migration,19,184163900
16777216,cpu_baseline,20,9108100
16777216,post_migration,20,182869700
16777216,cpu_baseline,21,9020500
16777216,post_migration,21,180747000
16777216,cpu_baseline,22,9046100
16777216,post_migration,22,185465800
16777216,cpu_baseline,23,8290000
16777216,post_migration,23,182282400
16777216,cpu_baseline,24,9442400
16777216,post_migration,24,184726000
16777216,cpu_baseline,25,9085200
16777216,post_migration,25,184914500
16777216,cpu_baseline,26,9119700
16777216,post_migration,26,181639200
16777216,cpu_baseline,27,8896100
16777216,post_migration,27,180208200
16777216,cpu_baseline,28,8479000
16777216,post_migration,28,178233100
16777216,cpu_baseline,29,8208600
16777216,post_migration,29,179143000
33554432,cpu_baseline,0,356249100
33554432,post_migration,0,356847500
33554432,cpu_baseline,1,18128800
33554432,post_migration,1,356767000
33554432,cpu_baseline,2,17459300
33554432,post_migration,2,360780100
33554432,cpu_baseline,3,17721100
33554432,post_migration,3,359209900
33554432,cpu_baseline,4,17596500
33554432,post_migration,4,361857000
33554432,cpu_baseline,5,17976300
